127.0.0.1 - - [11/Feb/2022:08:47:27 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:28 +0900] "GET /Login.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:28 +0900] "GET /resources/css/common.css HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:28 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "POST /LoginProc.do HTTP/1.1" 200 11189
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/3banner.jpg HTTP/1.1" 200 460277
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/2banner.jpg HTTP/1.1" 200 107479
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/1banner.jpg HTTP/1.1" 200 539358
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/ngookbi_thum007.jpg HTTP/1.1" 200 32602
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/ngookbi_thum010.jpg HTTP/1.1" 200 31232
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/ngookbi_thum009.jpg HTTP/1.1" 200 42162
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:31 +0900] "GET /resources/img/ngookbi_thum004.jpg HTTP/1.1" 200 25362
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:32 +0900] "GET /Board/list.do HTTP/1.1" 200 11377
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:32 +0900] "GET /Board/resources/css/common.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:34 +0900] "GET /Board/list.do?num=&start=100&end=10&nowPage=11 HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:34 +0900] "GET /Board/resources/css/common.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:35 +0900] "GET /Board/list.do?num=&start=140&end=10&nowPage=15 HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:35 +0900] "GET /Board/resources/css/common.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:35 +0900] "GET /Board/list.do?num=&start=150&end=10&nowPage=16 HTTP/1.1" 200 11629
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:35 +0900] "GET /Board/resources/css/common.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Feb/2022:08:47:36 +0900] "GET /Board/list.do?num=&start=280&end=10&nowPage=29 HTTP/1.1" 200 11629
